GP,Date,Home or Away,Opponent,GF,GA,OT,ShotsFor,PPIM,PPPG,PPPO,PSHG,ShotsAgainst,OPIM,OPPG,OPPO,OSHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,Outcome
1,2014-10-09,H,Anaheim Ducks,6,4,,39,17,1,0,1,29,13,3,0,0,47,34,58,38,26,59.4,25,32,43.9,65.6,107.1,W
2,2014-10-11,@,Toronto Maple Leafs,5,2,,41,17,3,0,0,25,17,2,0,0,55,32,63.2,40,24,62.5,25,23,52.1,45,106.7,W
3,2014-10-16,H,Dallas Stars,2,3,,29,8,2,0,0,28,8,1,0,0,48,47,50.5,32,33,49.2,29,21,58,43.3,92,L
4,2014-10-18,H,New York Islanders,3,1,,38,25,2,0,0,35,29,0,0,0,44,42,51.2,35,29,54.7,22,21,51.2,57.5,99.4,W
5,2014-10-22,H,Philadelphia Flyers,3,5,,25,11,0,0,0,33,11,0,0,0,43,40,51.8,34,34,50,30,23,56.6,66.1,94.6,L
6,2014-10-23,@,Detroit Red Wings,3,4,OT,26,10,0,0,0,31,10,0,0,0,32,35,47.8,22,31,41.5,21,26,44.7,43.5,100,L
7,2014-10-25,@,Nashville Predators,3,0,,26,6,2,0,0,25,6,0,0,0,31,42,42.5,24,27,47.1,21,13,61.8,36.4,104.8,W
8,2014-10-28,H,New Jersey Devils,8,3,,33,6,3,0,0,19,14,0,0,1,30,32,48.4,22,23,48.9,22,16,57.9,60,114.6,W
9,2014-10-30,H,Los Angeles Kings,3,0,,23,12,2,0,0,36,16,0,0,0,28,45,38.4,21,30,41.2,25,24,51,43.4,106.3,W
10,2014-11-01,H,Buffalo Sabres,5,0,,34,8,3,0,0,18,10,0,0,0,52,30,63.4,37,16,69.8,24,23,51.1,59.6,108,W
11,2014-11-04,@,Minnesota Wild,4,1,,22,15,1,0,0,34,13,0,0,1,38,44,46.3,28,31,47.5,21,28,42.9,51.5,116.7,W
12,2014-11-06,@,Winnipeg Jets,4,3,SO,35,55,0,0,0,37,47,0,0,0,52,48,52,38,36,51.4,20,22,47.6,46.4,100.5,W
13,2014-11-08,@,Buffalo Sabres,6,1,,39,13,2,0,0,21,17,0,0,0,43,32,57.3,41,22,65.1,12,22,35.3,43.9,106.7,W
14,2014-11-11,@,New York Rangers,0,5,,33,8,0,0,0,35,6,1,0,1,57,39,59.4,40,29,58,25,18,58.1,63.4,86.4,L
15,2014-11-14,@,Toronto Maple Leafs,2,1,,40,14,0,0,0,31,8,0,0,0,69,39,63.9,53,30,63.9,24,23,51.1,69.7,100.3,W
16,2014-11-15,H,New York Rangers,3,2,SO,38,12,0,0,0,31,8,1,0,0,57,37,60.6,43,30,58.9,25,19,56.8,60.4,101.5,W
17,2014-11-18,@,Montreal Canadiens,4,0,,22,6,1,0,0,27,2,0,0,0,44,52,45.8,28,30,48.3,19,38,33.3,46.5,115,W
18,2014-11-21,H,New York Islanders,4,5,SO,30,9,0,0,0,35,7,0,0,0,56,65,46.3,41,48,46.1,26,26,50,48.2,101.2,L
19,2014-11-22,@,New York Islanders,1,4,,28,31,0,0,0,35,19,1,0,0,41,62,39.8,30,45,40,20,32,38.5,51,94.6,L
20,2014-11-24,@,Boston Bruins,3,2,OT,33,6,1,0,0,29,8,0,0,0,50,44,53.2,38,37,50.7,20,21,48.8,73.3,98.3,W
21,2014-11-26,H,Toronto Maple Leafs,4,3,OT,26,8,1,0,0,27,8,0,0,1,46,34,57.5,28,23,54.9,32,24,57.1,49.5,103.2,W
22,2014-11-28,H,Carolina Hurricanes,2,4,,22,16,0,0,0,35,2,2,0,0,34,52,39.5,26,38,40.6,25,23,52.1,54.8,103.3,L
23,2014-11-29,@,Carolina Hurricanes,3,2,,33,16,0,0,0,34,10,2,0,0,41,40,50.6,32,27,54.2,17,32,34.7,52.9,111.1,W
